timestamp,elapsed_ms,client_ip,result_code,bytes,method,url,hierarchy,content_type
2020-01-01 10:54:16,3075,189.122.92.192,TCP_DENIED/403,44354,GET,http://spg-eng-217.sahyadripower.example/actuator/env,HIER_NONE/-,text/html
2020-01-01 12:29:42,1943,80.11.33.124,TCP_DENIED/403,26529,GET,http://spg-dns-056.sahyadripower.example/index.php?id=1'+OR+'1'='1,HIER_NONE/-,text/html
2020-01-02 06:29:27,3147,20.171.129.52,TCP_MISS/200,52539,GET,http://spg-eng-141.sahyadripower.example/index.php?id=1'+OR+'1'='1,HIER_DIRECT/213.45.150.91,application/octet-stream
2020-01-02 08:30:12,990,21.153.222.60,TCP_MISS/200,39850,GET,http://oqwn7chtmg.xyz/update/payload.bin,HIER_DIRECT/118.88.113.186,application/octet-stream
2020-01-02 12:45:47,1694,118.168.161.187,TCP_MISS/200,70557,GET,http://spg-sub-364.sahyadripower.example/admin/../../etc/passwd,HIER_DIRECT/144.44.238.108,application/octet-stream
2020-01-02 15:00:15,2514,78.168.250.18,TCP_MISS/200,33531,GET,http://spg-dns-008.sahyadripower.example/api/v1/status,HIER_DIRECT/196.89.133.250,application/octet-stream
2020-01-02 18:16:42,1388,147.183.223.117,TCP_DENIED/403,23285,GET,http://spg-plc-331.sahyadripower.example/admin/../../etc/passwd,HIER_NONE/-,text/html
2020-01-02 18:47:41,2683,174.128.188.117,TCP_MISS/200,78306,GET,http://spg-prx-074.sahyadripower.example/wp-login.php,HIER_DIRECT/134.73.179.139,application/octet-stream
2020-01-03 01:59:27,3352,218.70.53.220,TCP_MISS/200,21788,GET,http://spg-web-081.sahyadripower.example/api/v1/status,HIER_DIRECT/93.58.228.152,application/octet-stream
2020-01-03 13:14:30,12,207.28.150.235,TCP_MISS/200,60407,GET,http://spg-eng-201.sahyadripower.example/,HIER_DIRECT/37.204.31.33,application/octet-stream
2020-01-03 14:31:45,3281,33.4.127.59,TCP_MISS/200,24524,GET,http://spg-sub-280.sahyadripower.example/index.php?id=1'+OR+'1'='1,HIER_DIRECT/142.48.109.105,application/octet-stream
2020-01-03 16:21:05,3152,162.193.92.149,TCP_DENIED/403,56585,GET,http://spg-dns-032.sahyadripower.example/login,HIER_NONE/-,text/html
2020-01-03 21:06:44,2218,54.49.196.228,TCP_DENIED/403,10903,GET,http://spg-prx-082.sahyadripower.example/wp-login.php,HIER_NONE/-,text/html
2020-01-03 22:10:49,3282,8.182.28.62,TCP_DENIED/403,86600,GET,http://3tjzswy400xkvcb.info/dl/setup.exe,HIER_NONE/-,text/html
2020-01-04 02:24:56,53,60.41.118.65,TCP_DENIED/403,34387,GET,http://fx99dgd07vxok127ce.info/update/payload.bin,HIER_NONE/-,text/html
2020-01-04 05:40:51,885,78.38.67.153,TCP_MISS/200,65158,GET,http://lh8r1hxtapkhke02.top/update/payload.bin,HIER_DIRECT/221.221.69.179,application/octet-stream
2020-01-04 09:19:45,2697,91.116.23.209,TCP_MISS/200,46309,GET,http://spg-sub-308.sahyadripower.example/index.php?id=1'+OR+'1'='1,HIER_DIRECT/7.50.215.117,application/octet-stream
2020-01-04 18:30:42,1926,199.170.84.243,TCP_DENIED/403,17950,GET,http://spg-hmi-143.sahyadripower.example/actuator/env,HIER_NONE/-,text/html
2020-01-04 20:07:48,1479,50.34.174.166,TCP_MISS/200,28384,GET,http://spg-ems-337.sahyadripower.example/admin/../../etc/passwd,HIER_DIRECT/23.193.111.78,application/octet-stream
2020-01-04 20:43:00,2325,156.86.195.210,TCP_DENIED/403,76494,GET,http://spg-ems-397.sahyadripower.example/,HIER_NONE/-,text/html
2020-01-04 22:17:27,3617,41.237.237.175,TCP_MISS/200,1031,GET,http://spg-rtu-338.sahyadripower.example/api/v1/status,HIER_DIRECT/125.180.136.187,application/octet-stream
2020-01-05 05:14:10,440,204.76.124.26,TCP_DENIED/403,26780,GET,http://qvx1fy9ja2n8f.top/gate.php,HIER_NONE/-,text/html
2020-01-05 09:12:14,2468,202.115.221.44,TCP_MISS/200,83098,GET,http://qk3zhmxu831fvr5m.xyz/dl/setup.exe,HIER_DIRECT/171.120.138.162,application/octet-stream
2020-01-06 02:17:27,2208,10.153.23.147,TCP_MISS/200,59844,GET,http://9dhc0fu1aahazu.xyz/update/payload.bin,HIER_DIRECT/118.228.89.41,application/octet-stream
2020-01-06 06:02:31,2051,39.198.204.252,TCP_MISS/200,81758,GET,http://spg-ems-353.sahyadripower.example/actuator/env,HIER_DIRECT/106.38.163.52,application/octet-stream
2020-01-06 06:08:40,799,78.31.133.49,TCP_MISS/200,28220,GET,http://spg-rtu-322.sahyadripower.example/api/v1/status,HIER_DIRECT/109.55.5.254,application/octet-stream
2020-01-06 16:53:39,1359,159.34.19.60,TCP_MISS/200,55510,GET,http://spg-hmi-207.sahyadripower.example/,HIER_DIRECT/110.130.219.192,application/octet-stream
