client_ip,user,timestamp,method,path,status,bytes,user_agent
141.128.225.165,-,2020-01-01 06:37:49,GET,/gate.php,200,35552,"Mozilla/5.0 (Windows; U; Windows NT 5.2) AppleWebKit/532.22.3 (KHTML, like Gecko) Version/5.0.5 Safari/532.22.3"
92.78.39.166,jayant.butala,2020-01-01 08:58:10,GET,/,200,10734,"Mozilla/5.0 (Windows; U; Windows NT 4.0) AppleWebKit/531.15.3 (KHTML, like Gecko) Version/5.0 Safari/531.15.3"
189.122.92.192,-,2020-01-01 10:54:16,GET,/index.php?id=1'+OR+'1'='1,403,50397,Mozilla/5.0 (compatible; MSIE 5.0; Windows 98; Win 9x 4.90; Trident/4.1)
80.11.33.124,-,2020-01-01 12:29:42,GET,/admin/../../etc/passwd,403,20298,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_5_7 rv:5.0; eo-US) AppleWebKit/533.44.6 (KHTML, like Gecko) Version/5.0 Safari/533.44.6"
147.185.56.132,oorja.sahota,2020-01-01 13:40:25,GET,/actuator/env,200,21379,"Mozilla/5.0 (iPad; CPU iPad OS 3_1_3 like Mac OS X) AppleWebKit/533.2 (KHTML, like Gecko) CriOS/16.0.842.0 Mobile/61I718 Safari/533.2"
20.171.129.52,-,2020-01-02 06:29:27,GET,/admin/../../etc/passwd,200,15244,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_3 like Mac OS X; ce-RU) AppleWebKit/535.10.3 (KHTML, like Gecko) Version/3.0.5 Mobile/8B118 Safari/6535.10.3"
21.153.222.60,-,2020-01-02 08:30:12,GET,/gate.php,200,4239,"Mozilla/5.0 (Windows; U; Windows NT 4.0) AppleWebKit/535.43.3 (KHTML, like Gecko) Version/5.0 Safari/535.43.3"
88.238.176.31,-,2020-01-02 09:10:24,GET,/index.php?id=1'+OR+'1'='1,403,42679,Opera/9.96.(X11; Linux i686; the-NP) Presto/2.9.186 Version/10.00
114.157.198.175,-,2020-01-02 10:18:29,GET,/update/payload.bin,200,11788,"Mozilla/5.0 (Windows; U; Windows NT 5.2) AppleWebKit/534.26.2 (KHTML, like Gecko) Version/5.0.2 Safari/534.26.2"
53.71.180.127,-,2020-01-02 10:23:04,GET,/index.php?id=1'+OR+'1'='1,403,32378,Mozilla/5.0 (Windows NT 4.0; lg-UG; rv:1.9.2.20) Gecko/3969-05-22 20:35:19 Firefox/15.0
118.168.161.187,-,2020-01-02 12:45:47,GET,/index.php?id=1'+OR+'1'='1,200,34768,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/3.0)
78.168.250.18,-,2020-01-02 15:00:15,GET,/api/v1/status,200,42218,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_11_3) AppleWebKit/531.2 (KHTML, like Gecko) Chrome/37.0.890.0 Safari/531.2"
174.128.188.117,ranbir.soni,2020-01-02 18:47:41,GET,/admin/../../etc/passwd,200,41238,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_10_6 rv:6.0; ps-AF) AppleWebKit/531.32.2 (KHTML, like Gecko) Version/5.0.3 Safari/531.32.2"
88.77.249.227,-,2020-01-03 03:10:10,GET,/login,200,46979,"Mozilla/5.0 (Windows NT 5.01) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/21.0.848.0 Safari/535.1"
75.9.121.45,farhan.sibal,2020-01-03 06:27:55,GET,/gate.php,403,39097,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/536.0 (KHTML, like Gecko) Chrome/42.0.807.0 Safari/536.0"
56.89.206.68,aradhya.gole,2020-01-03 11:03:06,GET,/wp-login.php,403,2650,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 5.0; Trident/5.0)
207.28.150.235,-,2020-01-03 13:14:30,GET,/login,503,22028,"Mozilla/5.0 (iPad; CPU iPad OS 14_2 like Mac OS X) AppleWebKit/533.1 (KHTML, like Gecko) CriOS/17.0.831.0 Mobile/54A000 Safari/533.1"
162.193.92.149,hazel.sidhu,2020-01-03 16:21:05,GET,/login,403,30360,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 6.1; Trident/5.0)
70.35.159.11,-,2020-01-03 18:58:21,GET,/login,503,51575,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_0 like Mac OS X; ti-ER) AppleWebKit/532.11.6 (KHTML, like Gecko) Version/3.0.5 Mobile/8B116 Safari/6532.11.6"
